Name,Value (in Millions)
Romelu Lukaku,7.7
Ron-Thorben Hoffmann,5.5
Ronael Pierre Gabriel,5.4
Rony Lopes,6.7
Rose. D,5.9
Ruben Dias,5.6
Rustam Khudzhamov,5.0
Ruud Vormer,5.3
Ryan Donk,5.5
Ryan Thomas,5.2
S. Ramos,6.6
S\u00e9bastien Corchia,5.6
S\u00e9rgio Oliveira,5.8
Sa\u00fal \u00d1\u00edguez,6.8
Saba Kverkvelia,5.3
Sadio Man\u00e9,7.5
Safwan Mbae,5.0
Salah. Mo,7.7
Salif San\u00e9,5.7
Sami Khedira,5.8
Samir Handanovic,6.0
Samuel Grandsir,5.5
Samuel Umtiti,6.3
Sanchez. A,7.5
Sanchez. D,5.8
Sandro Lauper,5.0
Sandro Wagner,6.8
Santi Mina,6.6
Santiago Arias,5.9
Sascha Riether,5.4
Saulo Decarli,5.2
Scott McTominay,5.2
Sebastian Rode,5.3
Sebastian Rudy,5.2
Sebastiano Luperto,5.5
Sebastien Cibois,5.0
Sekou Sanogo,5.3
Selcuk Inan,6.0
Semih Kaya,5.1
Serafim Giannikoglou,5.0
Serdar Aziz,5.6
Serge Aurier,5.7
Serge Gnabry,6.0
Sergey Chepchugov,5.0
Sergey Krivtsov,5.4
Sergey Tkachev,5.0
Sergi Roberto,5.6
Sergio Ag\u00fcero,8.0
Sergio Araujo,5.0
Sergio Busquets,5.8
Sergio Romero,5.5
Sergiy Bolbat,5.3
Seydou Sy,5.2
Shinji Kagawa,6.1
Siebe Schrijvers,5.2
Silva. B,7.0
Silva. D,7.2
Sime Vrsaljko,6.0
Simon Mignolet,5.4
Simone Muratore,5.0
Simone Verdi,6.2
Sinan G\u00fcm\u00fcs,5.4
Slavoljub Srnic,5.0
Sofiane Diop,5.5
Sofiane Feghouli,5.7
Sofyan Amrabat,5.4
Son Heung-Min,7.0
Srdjan Babic,5.2
Stanley N'Soki,5.0
Stefan Milosevic,5.0
Stefan Posch,5.3
Stefan Savic,5.8
Stefan de Vrij,6.0
Stefano Denswil,5.2
Stephan El Shaarawy,6.1
Sterling. R,7.4
Stevan Jovetic,6.6
Steve Von Bergen,5.1
Steven Bergwijn,6.7
Steven Nzonzi,5.9
Steven Skrzybski,6.0
Steven Zuber,5.8
Stratos Svarnas,5.1
Su\u00e1rez. D,5.7
Su\u00e1rez. L,7.8
Suat Serdar,5.3
Sven Ulreich,5.7
Tahith Chong,5.0
Taison,6.4
Tanguy NDombele,5.3
Taras Stepanenko,5.6
Terry Osei-Berkoe,5.0
Thiago Alc\u00e1ntara,6.7
Thiago Silva,6.1
Thibault Vlietinck,5.4
Thibaut Courtois,6.1
Thomas Delaney,5.7
Thomas Lemar,7.1
Thomas M\u00fcller,7.5
Thomas Meunier,6.5
Thomas Partey,5.7
Thomas Vermaelen,5.5
Thorsten Schick,5.1
Tiago Rodrigues,5.3
Timmy Simons,5.0
Timothy Weah,5.3
Timur Pukhov,5.2
Timur Zhamaletdinov,5.4
Toby Alderweireld,6.1
Tomas Chory,5.3
Tomas Hajek,5.2
Tomas Horava,5.4
Tommaso Berni,5.0
Toni Kroos,6.8
Toni Lato,5.1
Traore. B,6.1
Trent Alexander-Arnold,6.0
Trent Sainsbury,5.5
Tyronne Ebuehi,5.6
Ubong Ekpai,5.2
Ulisses Garc\u00eda,5.1
Umut Gundogan,5.0
Uros Cosic,5.2
Uros Racic,5.5
Vaclav Cerny,5.1
Vaclav Pilar,5.0
Valencia. A,6.2
Van\u00e1 Alves,5.1
Vanja Vucicevic,5.1
Vasilios Barkas,5.4
Vasilios Lampropoulos,5.3
Vedran Corluka,5.4
Veljko Nikolic,5.0
Veljko Simic,5.3
Victor Lindel\u00f6f,5.9
Victor Wanyama,5.3
Viktor Klonaridis,6.0
Viktor Kovalenko,5.5
Viktor Vasin,5.4
Vin\u00edcius J\u00fanior,5.3
Vincent Aboubakar,6.7
Vincent Kompany,5.9
Vincenzo Grifo,5.5
Virgil van Dijk,6.3
Vitali Zhironkin,5.2
Vitolo,6.0
Viveiros,5.0
Vlad Chiriches,5.2
Vladimir Gabulov,5.0
Vladislav Ignatjev,5.2
Vujadin Savic,5.3
Wellington Nem,5.6
Wesley,5.7
Weston McKennie,5.4
Willem Geubbels,5.0
Wojciech Szczesny,6.4
Xherdan Shaqiri,6.3
Yacine Brahimi,6.3
Yanick van Osch,5.0
Yaroslav Rakitskiy,5.5
Yasin \u00d6ztekin,5.0
Yevhen Konoplyanka,6.7
Yordan Osorio,5.2
Youn\u00e8s Belhanda,5.7
Youri Tielemans,6.4
Youssef A\u00eft Bennasser,5.7
Yunus Akg\u00fcn,5.0
Yuri Oliveira Ribeiro,5.6
Yuto Nagatomo,5.5
Zakaria Labyad,6.1
\u00c1d\u00e1m Szalai,5.6
\u00c1lvaro Odriozola,5.5
\u00c1ngel Di Mar\u00eda,7.4
\u00d3liver Torres,5.9
\u00d6mer Toprak,5.8
